Ticker,Description,Total Shares Outstanding,Revenue (Quarterly QoQ Growth),Revenue (Annual YoY Growth),Total Revenue (FY),Gross Profit (Quarterly QoQ Growth),Gross Profit (Annual YoY Growth),Gross Profit (FY),Gross Margin (FY),EBITDA (Quarterly QoQ Growth),EBITDA (Annual YoY Growth),EBITDA (TTM),Operating Margin (FY),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),Net Income (Quarterly QoQ Growth),Net Income (Annual YoY Growth),Net Income (FY),Net Margin (FY),Total Assets (Annual YoY Growth),Total Assets (Quarterly QoQ Growth),Total Debt (Quarterly QoQ Growth),Total Debt (Annual YoY Growth),Total Debt (MRQ),Market Capitalization,Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Volatility,Volatility Month,Volatility Week,EPS Forecast (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Quick Ratio (MRQ),Sector
FFIE,Faraday Future Intelligent Electric Inc.,17800625,,,0,-1014.5187602,32.64280461,-5495000,,51.15766388,-52.22680777,-283815000,,48.03384769,46.44196224,-131.1872,13.82671256,-16.59887126,-602239000,,-41.66973922,-1.46682965,-18.33455891,-64.06396546,109947000,36394495.07434783,44.55498655,-15.89496746,,41.12903226,18.77837084,17.84546691,-3,-99.91053274,-211.40457193,-173.94400993,0.50792297,Consumer Durables
SPR,"Spirit Aerosystems Holdings, Inc.",105289000,-4.65977365,27.23501138,5029600000,-3750,,58200000.0000002,1.15714967,-368.53932584,,-15500000,-5.3721966,26.84473625,-0.52023121,-5.217,26.63584637,-0.90606509,-545700000,-10.84976937,-13.84333036,-0.44868967,-0.02775465,2.14219427,3962200000,2236872361.2495637,-205.64399421,-141.44059869,-10.26324161,24.72250252,5.66501869,6.18305969,-0.718108,-12.68166537,,-24.55894347,0.75715985,Electronic Technology
HARP,"Harpoon Therapeutics, Inc.",4025840,135.59361529,34.9243257,31915000,162.81091201,37.17631379,28818000,90.29609901,,-1.67885146,-33855000,-214.08428639,,43.53439218,-20.4209,,41.97188167,-67731000,-212.22309259,-52.57121169,-21.79212711,-2.8132009,31.33667022,15166000,26550441.91962618,21.3107954,26.76804031,-280.52326492,38.46909476,13.87982426,26.89888828,-3.115646,-46.86261981,-272.17948718,-156.45714951,1.93680429,Health Technology
STRM,"Streamline Health Solutions, Inc.",58895100,8.21455364,43.21307325,24889000,10.87981147,47.36072331,11083000,44.52971192,20.39957939,18.35389792,-5515000,-42.9185584,13.8996139,-50.98167539,-0.2307,13.30575664,-73.93763375,-11379000,-45.71899233,-0.47561272,-5.61378041,-1.03982531,-3.8654965,9517000,21496700.55,-1213.40206186,-101.77715092,-28.73960384,37.26384365,22.44031845,49.10495711,-0.045,-19.47096856,-36.02019761,-27.68009075,0.65331834,Technology Services
ALBT,Avalon GloboCare Corp.,10164300,3.62635693,-13.57345798,1202169.00000164,28.88097234,-58.40362118,113675.00000016,9.45582526,18.8762995,16.89602802,-8244660,-619.12218665,10.71942446,-19.46572016,-1.279,8.64254427,-31.24523747,-11930847.0000162,-992.44340854,92.84796376,-1.29683218,36.69309012,38.72627226,7595424,9168205.29796027,-33.49134593,-40.16411432,-573.74795058,48.70512821,8.78924127,13.32410014,,-64.4332144,-143.61378671,-96.6869785,0.20071038,Health Technology
OTLK,"Outlook Therapeutics, Inc.",260245000,,,0,-1.7362058,21.9142443,-204694,,-165.56915041,-20.8807407,-54570460,,-210.81081081,10.56863871,-0.3114,-210.70362771,-24.24398855,-66052263.99999999,,25.05890572,-17.72702694,9.1185231,-7.93418294,34740349,123707472.12774003,-63.05490456,-4.6739789,,40.25974026,9.38063604,23.04815093,-0.06125,-145.32908758,-827.70934264,-827.29232745,0.86156894,Health Technology
RIBT,RiceBran Technologies,6607780,-32.36595102,33.68346664,41617000,,-271.71945701,-759000,-1.82377394,-8.52079073,-28.27535159,-6010000,-17.89893553,15.90025907,23.98911768,-1.4249,13.90532544,12.19130629,-7858000,-18.88170699,-12.3910197,-57.19558585,-50.05166357,15.1249708,4834000,2956980.15841321,-441.43835616,20.20219936,-10.8104861,19.57894737,8.33509991,8.86649055,,-36.74636049,-97.03831638,-79.53651759,0.45860209,Process Industries
ALPP,"Alpine 4 Holdings, Inc.",24331400,15.02485888,102.48132422,104563002,49.27931914,182.07856121,21714402,20.76681196,40.14549028,38.79656124,-11598610,-15.96543106,21.75226586,43.11452955,-0.5399,21.099789,33.91560949,-12875313,-12.31345003,13.00672839,0.46933762,-0.19180391,28.30574471,53024755,21332580.19910448,,28.79683697,-19.74441208,39.21538462,10.77373253,16.68690127,-0.13,-14.86036851,-31.6583544,-20.79503835,0.51675489,Electronic Technology
WHLR,"Wheeler Real Estate Investment Trust, Inc.",980857,-4.19301675,25.11332434,77006000,-3.26783868,16.95658583,31735000,41.21107446,5.1472439,4.27713987,56380000,26.51611563,-16.06849465,-61.65029671,-22.0373,-28.02321832,-31.88605316,-12454000,-16.17276576,47.12313634,-1.14379589,0.07295691,39.28024238,506147000,964967,,109.30473234,28.88995663,44.44444444,24.00156871,20.59698325,,-2.61140511,-17.13956901,-2.88741262,,Finance
SLNHP,"Soluna Holdings, Inc. - 9.0% Series A Cumulative Perpetual Preferred Stock",1427780,-32.90071382,99.00313698,28547000,-4844.64285714,-226.83665339,-7959000,-27.88033769,-4.05766151,-993.6610608,-15229000,-128.44782289,4.56187619,-1382.84150447,-164.717,-24.25658454,-1776.35430527,-98715000,-373.5453813,-28.02842911,14.72679574,9.36683203,167.82954812,20503000,4625997,-176.67789583,-38.49138879,-242.53336603,26.66666667,13.88267523,20.4941886,,-81.15355364,-142.44681767,-127.50072271,1.3714908,Electronic Technology
MSS,Maison Solutions Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.078125,103.3459691,19.48848449,,,,,,Retail Trade
RVLP,RVL Pharmaceuticals plc,111406000,-6.4990942,184.1037655,49721000,-3.42423303,593.12857887,39945000,80.33828765,21.28848794,35.62770256,-43189000,-92.07377165,-105.64585115,43.80003905,-0.5756,-105.72683431,25.06450958,-51692000,-103.96411979,-12.82903209,-23.13424776,0.68744589,20.66113968,58147000,6595237.52156863,-84.04942432,31.76558021,-77.55676676,47.4137931,31.87451581,51.63610763,-0.082,-64.94287318,-182.43916779,-115.43313211,0.35670839,Health Technology
CYN,Cyngn Inc.,33830900,-36.87534372,,262000,-665.06251558,-516.96232019,-529693,-202.17290076,-11.24493487,-101.79789998,-22458680,-7404.85763359,-12.5748503,-109.13412564,-0.6159,-12.87390575,-146.63680332,-19236509,-7342.17900763,12.58011205,-23.50052222,123.74846365,3169.53245419,567981,15838892.62601626,15.82180152,-97.79772121,-6571.58015267,19.1,10.80506321,13.84672368,-0.18,-90.96187082,-96.52808328,-96.14157709,8.21327681,Technology Services
BIOR,"Biora Therapeutics, Inc.",23328100,0,-75.54129912,305000,-13.10344828,-216.84210526,-602000,-197.37704918,4.0852114,47.70274914,-57468000,-20256.06557377,7.76198264,92.23104008,-4.9975,-2.09850353,84.57754676,-38157000,-16009.83606557,-50.82185614,-6.70510677,0.07668418,2.29502231,130505000,48524776.18755555,3.89631831,61.26374442,-21380,33.25389348,9.32162525,13.58279463,-0.925,-100.32183255,,-319.60094487,0.89956993,Health Services
YTEN,"Yield10 Bioscience, Inc.",11864000,-100,-26.71009772,450000,27.43362832,-672.22222222,-206000,-45.77777778,1.1579818,-15.12506748,-13570000,-2989.11111111,15.06939855,-18.41111874,-2.7604,2.67054469,-22.98069078,-13566000,-3014.66666667,-60.39676708,10.04874391,36.98248408,-16.21877964,3441000,4253245.15273312,-15.73243647,-22.41050625,-2568.44444444,22.10829862,12.25554778,13.51343915,-0.393333,-141.53800328,-262.57137594,-177.67667955,1.22469636,Process Industries
CNFR,"Conifer Holdings, Inc.",12222900,1.39956874,5.68653582,110230000,,,,,,,,-15.94665699,-573.5042735,-784.85385297,-0.999,-573.42657343,-876.32541133,-10681000,-9.68973964,-13.92666721,4.29001879,0.2267774,-0.61601643,34031000,16500890.04201681,,-736.88434304,-36.71777193,11.94118964,4.15664331,6.3674083,0.02,-1.47481577,-18.62032275,-6.20170301,,Finance
PEV,Phoenix Motor Inc.,21291924,-34.98034812,45.44843802,4330000,-135.26011561,,820000,18.93764434,18.959842,,,-303.69515012,-11.994003,0.90490798,-0.6461,-14.36285097,13.06281648,-12705000,-293.41801386,32.3771288,-5.19911504,24.7064829,434.46475196,4886000,34495044.57692308,31.20138289,,,22.39281576,23.38500509,15.6600016,,-25.30128973,-39.53599354,-34.16011165,0.56987854,Consumer Durables
ARDX,"Ardelyx, Inc.",217863000,96.43768141,416.569278,52158000,75.72953737,850.33909429,43440000,83.28540205,40.14305583,60.51395007,-47469000,-122.24203382,38.43774169,72.09777309,-0.4235,36.05124566,57.5082983,-67207000,-128.85271675,26.7842015,-2.67994968,-2.19376891,4.85671589,34909000,848576065.4971014,66.90397018,54.6043855,-134.39740788,18.45730028,8.1488371,10.80980311,-0.107582,-32.72454662,-63.66747445,-59.7320725,2.50451458,Health Technology
MCOM,micromobility.com Inc.,141442000,-10.8190865,21.06903537,15538000.0000193,-26.28707331,-26.56294335,-26763000.0000333,-172.24224482,-4.06325666,-3.97274734,-49662000,-399.27275068,58.83103263,57.17662963,-62.4035,-74.99744298,-14.03759848,-82074000.0001021,-528.21469945,-23.2530817,-67.57599588,-15.85077079,4.92304158,34826000,7934056.38983051,33.19709702,11.67179174,-297.63161282,23.28431373,14.56176611,24.21298958,-3,-391.61368698,,,0.08676836,Transportation
EDUC,Educational Development Corporation,8571090,-27.06485817,-38.2480904,87829000,-26.29512674,-42.74578199,56069800,63.83973403,-685.25714286,-100.83522668,-2169400,-2.93980348,,-131.24745625,-0.3071,,-130.15481292,-2504900,-2.85201926,-8.53353909,0.71894853,-3.84297798,7.37068866,44368100,10113883.39047619,275.82743666,93.93921273,-1.73097724,12.38095238,10.91043101,15.33253306,0.31,-1.70708818,-3.77263439,-2.1869163,0.29292929,Consumer Services
ACXP,"Acurx Pharmaceuticals, Inc.",13005100,,,0,,,0,,-18.68024361,5.62984814,-13150300,,-13.35204491,10.40230806,-1.118,-18.68036626,5.13756328,-12092776,,-29.25456555,25.05417091,,,0,74519381.41764706,18.43108649,-50.4336119,,29.80576923,27.3220647,48.52462923,-0.27,-142.20326847,-175.3164389,-175.3164389,3.05880391,Health Technology
LRHC,La Rosa Holdings Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.85714286,64.02520433,31.28710909,,,,,,Finance
NMRD,Nemaura Medical Inc.,28899400,,-84.71064048,77044,44.13721224,-2635.69739616,-1920569,-2492.82098541,43.59504132,-7.34079683,-9127550,-10803.7757645,48.80681818,4.27681428,-0.5685,44.410868,-1.8501736,-14143735,-18357.99672914,-34.10884991,-41.97694289,-14.69278988,4.38500757,17087163,8869226.976,-3.59543625,-26.37064543,-11458.322517,50.23112481,12.13110904,17.12205696,-0.11,-91.3044122,,,0.23651197,Health Technology
MCVT,"Mill City Ventures III, Ltd.",6385260,259.38347448,-36.04454074,4332472,259.38347448,,,,,-91.95779451,-1652340,7.2129491,,-96.59552846,0.0201,,-96.22196711,106958,2.46875225,12.19894368,-12.67652986,-99.79946158,192.92536258,5537,22156833.6784566,,-153.968673,-36.80531576,12.21864952,6.6974524,6.29670868,,-8.26066713,-8.88213371,-8.35366193,,Finance
MOBV,Mobiv Acquisition Corp,10648350,,,0,,,0,,37.63108534,,-2115680,,,,0.0286,,,375586,,,1.31791437,,,666333,131890042.22222222,5.69563163,,,11.10526316,5.78659886,6.117348,,1.36258274,1.44233133,1.44233133,0.10460187,Finance
CELC,Celcuity Inc.,22090100,,,0,15.03709773,30.44404505,-210918,,-20.11060814,-39.6664062,-49702030,,-20.66836179,-18.35729138,-2.6183,-22.19113305,-36.36101091,-40370040,,104.521736,-6.88871563,1.26625436,136.72327501,36494433,213390779.04827592,24.93201341,-77.39391056,,13.62088536,7.36074815,11.60465694,-0.6825,-43.38932823,-60.00593604,-45.65986416,21.56631511,Health Technology
BXRX,"Baudax Bio, Inc.",9177340,,17.5,1269000,-1566.66666667,-88.9978474,-7902000,-622.69503546,14.98399146,32.2417272,-21624000,-2816.62726556,-130.69369333,56.26544778,-177.299,-164.67029113,-197.4100865,-58795000,-4633.17572892,-81.17011093,201.71266808,139.62061079,-22.45942708,17811000,2036451.746,22.77015437,43.78145655,-2191.72576832,39.45812808,19.95975084,25.00619014,-0.53,-171.00884956,,-1000.96063289,0.09092242,Health Technology
BIOC,"Biocept, Inc.",2626030,-12.48142645,-57.78216787,25858000,16.73036093,-110.99425165,-2582000,-9.98530435,15.97779149,-13164.9122807,,-123.6870601,71.1993028,-890.27312683,-56.7783,49.17413214,-1036.22521246,-32087000.00000001,-124.08925671,-48.900144,-3.87074327,0.06906674,-4.45040638,11591000,1483704.37377691,50.48812236,-743.43720491,-52.70322531,31.8,16.17391099,37.6087458,-2.36,,,,1.69502244,Health Technology
APVO,Aptevo Therapeutics Inc.,11523700,,-74.66644972,3114000,15.73033708,,2213000,71.06615286,-5.93824228,-36.94707741,-30691000,-919.7495183,-410.48366675,,1.573,-386.6209881,,8027000,225.24084778,-39.55053798,-17.32105579,-2.83975659,-76.84511435,5748000,4079395.64485981,-205.19053876,-0.20586722,-687.76493256,13.50353737,13.30590716,22.30824079,-0.75,-56.3955635,-97.1653944,-70.98165325,3.28172479,Health Technology
CYCC,"Cyclacel Pharmaceuticals, Inc.",12514500,,,0,,25.58139535,-32000,,19.012447,-20.65516488,-28529000,,6.18976226,11.09240554,-1.9012,6.1337009,-12.23592948,-21198000,,-35.42395567,-25.46690843,-17.5,253.33333333,66000,9260696.23343755,80.99606815,-12.20983465,,15.38461538,11.3667748,22.26420939,-0.363333,-91.78574187,-119.32123403,-118.78748501,2.26712126,Health Technology
OCTO,Eightco Holdings Inc.,2921678,29.31102288,304.11007476,31820779,39.07454928,0.07946471,2193910,6.89458294,31.38982849,-3913.26984318,-13128320,-44.64851096,91.16811955,-204.89958304,-150.9505,82.24063081,-164305.73662265,-47258411,-148.51431198,319.3271265,-0.54937762,14.30383633,124997.73911156,32868115.00000001,1604000.69007021,85.44251922,-2265.36671775,-52.87453836,14.93821812,13.55350714,29.53442027,,-181.59729622,-1003.16666943,-279.50589772,0.4511279,Technology Services
IVP,"Inspire Veterinary Partners, Inc.",6872414,4.83153007,285.80859225,9834778,19.59483884,161.73987178,1949504,19.82255217,-37.10558183,-223.36121564,-3127670,-33.63978323,19.23076923,-269.1015953,-0.4396,19.1721753,-269.02308082,-4911926,-49.94445223,218.90122602,-0.15466217,-13.92551839,252.75011018,20956511,10947850.17415731,-2.34074508,-20.22047258,-28.3654598,11.82795699,15.76883063,10.86655605,,-40.15829694,,-55.37876883,0.25058132,Process Industries
KTRA,"Kintara Therapeutics, Inc.",1746410,,,0,0,0,-60000,,-1.42987527,34.85987092,-14736000,,-1.50805497,64.06728421,-9.271,-2.1752451,35.3558978,-14649000,,-75.05016303,-40.96439169,,,0,7125170.26241935,17.46031746,40.67771675,,11.26005362,10.1116811,11.07831648,-0.58,-147.02664726,-233.89749321,-233.89749321,1.06099935,Health Technology
ETAO,"Etao International Co., Ltd.",102446000,,8.85449572,58060025,,16.81161708,18999663,32.72417296,,-19616.01428832,,-1269.62794797,,-8407.40037951,-8.9668,,-8404.66553224,-896677759,-1544.3978176,-76.20828874,,,-12.16228687,,19659358.88914286,,,17.21032673,35.65217391,16.0179461,19.3203147,,,,,,Health Services
RCRT,"Recruiter.com Group, Inc.",1408370,-38.01121194,14.37137533,25372274,-74.09936963,12.43269592,5097378,20.09034744,75.61319504,25.91139665,-7211760,-48.52511446,75.20961595,35.97139728,-18.2397,70.43602857,-0.85752251,-16474688,-64.93185435,-46.24287546,-6.66022244,5.21596186,14.0436599,5231789,1971853.08465116,,22.10325612,-27.67938735,26.4,12.16749627,12.33736908,-1.5,-91.03235941,-205.09120451,-184.9709994,0.25260486,Commercial Services
XOS,"Xos, Inc.",176019000,1.21354056,620.6022187,36376000,-324.74344356,-1171.33784928,-30029000,-82.55168243,-5.68486539,-105.49228333,-93156000,-306.10292501,4.30256766,-304.37586366,-0.4437,3.09481731,-413.3413102,-73325000,-201.57521443,-16.95189457,-17.08966495,-10.93102827,2886.84971098,49460000,65558190.21622016,-1.52769754,-51.44760686,-390.56795689,9.55882353,8.43039523,7.47628002,-0.09,-52.40138607,-81.19740155,-68.82246135,1.60037659,Consumer Durables
TKNO,"Alpha Teknova, Inc.",28341300,26.37868655,12.27062044,41420000,123.63125877,-0.88022825,16328000,39.42056977,54.67885185,-177.96164384,-25909000,-69.6716562,19.14349632,-382.91428571,-1.6902,18.86129069,-384.2191166,-47468000,-114.60164172,-8.55799317,-6.008325,-1.66919204,256.44481887,40235000,67168889.65753426,48.36612204,-91.90561736,-134.11154032,26.97674419,19.27357369,12.69396361,-0.29,-32.87698217,-47.10504154,-38.29327412,1.08526455,Health Technology
SOBR,"SOBR Safe, Inc.",18544600,-21.44856689,,35322,4.09994654,4.15265758,-369457,-1045.9685182,-10.14970582,-93.97342628,-10736120,-29481.46197837,-2.82522996,-108.54879525,-1.8955,-10.46501751,-56.98203315,-12354913,-34977.95424948,182.99901526,-20.20408954,-12.0966607,-29.75913057,2642101,16504668.69470368,-4.34364088,-66.9107719,-17428.71298341,18.40665874,10.72356569,10.68129373,-0.1,-136.57352855,-206.88049718,-173.03190259,4.85198463,Electronic Technology
ORGS,Orgenesis Inc.,28753400,-0.97955707,1.47315644,36025000,-15.02512563,1.21588679,34047000,94.50936849,-3.9969547,62.75441885,-3929000,-20.93268563,8.83458647,20.22320828,-0.5933,1.48006684,17.52617294,-14889000,-41.3296322,51.9493324,-41.27933782,-8.51205246,71.21621622,20647000,27568732.98741573,45.64962477,-7.212369,-103.36433033,15.66697545,11.95650976,9.14409283,0.1,-23.42343875,-49.42388456,-31.26724422,0.72858154,Health Technology
BSGM,"BioSig Technologies, Inc.",74927500,-100,-35.14739229,286000,-10,-10.07556675,-437000,-152.7972028,-48.5686627,18.46300043,-31084000,-9533.21678322,-32.24455611,32.85399391,-0.6397,-51.29569013,15.24266065,-27052000,-9458.74125874,-73.51633482,-22.07042525,-11.17561684,16.61585366,612000,45735742.78285313,12.66467592,18.81147693,-7647.9020979,19.46591708,12.27928219,15.95537521,-0.08,-465.61583578,-868.92871802,-774.51219512,0.53961585,Health Technology
PMVP,"PMV Pharmaceuticals, Inc.",48454600,,,0,-350,49.25839188,-650000,,7.68763436,-33.98933558,-81384000,,8.92558028,-25.46816479,-1.608,8.84567127,-26.74515092,-73317000,,-18.47584809,-4.62435029,-3.70974922,24.86375413,12978000,101996897.64885496,11.22099156,-55.91193656,,24.21052632,18.55664391,46.11063075,-0.462857,-27.31788201,-29.96812718,-28.51735744,16.63431467,Commercial Services
RZLT,"Rezolute, Inc.",36827600,,,0,3.03030303,-49.21875,-382000,,17.04879483,-33.71486282,-55608000,,18.7664042,56.31503951,-1.0117,18.78509444,-26.12518266,-51787000,,-18.82889385,-7.81192951,4.38079191,1218.08510638,2478000,38657898.51520409,37.11562967,-12.66659935,,11.78897731,10.09387211,14.03080864,-0.2825,-37.50765008,-38.98992257,-38.696107,20.175,Health Technology
MGRM,Monogram Orthopaedics Inc.,29253251,,-100,0,0.79997659,-328.03781307,-386686,,-48.58127985,-2.72006075,,,-105.9893859,-15.87026492,-0.468,-35.70661478,-15.8779863,-13690947,,57.07962236,95.5970388,-5.07611071,188.54031202,552065,84249314.49814126,-103.9473003,5.85209423,,14.06844106,7.66079369,8.67210779,,,,,2.25798981,Health Technology
AQB,"AquaBounty Technologies, Inc.",3567910,98.1746706,167.01298569,3136954,4.22195867,-9.82503077,-12518740,-399.0731136,0.73042251,0.17428765,-22471930,-711.63102806,-0.09874918,3.03247076,-6.2354,-0.34964172,0.74092215,-22157195,-706.32833634,-6.38919457,1.90419352,-0.6347647,-5.75814596,9052789,14205285.22209678,-2.36505881,-237.90164007,-2820.67126263,11.11111111,9.78384045,11.9507191,-1.933333,-11.38790021,-12.80407197,-12.32237591,1.90755086,Health Technology
SCL,Stepan Company,22351200,-10.96976526,18.21441572,2773270000,-9.7366668,7.89765564,427060000,15.39914974,-5.20822193,14.43843608,205994000,7.52227515,-21.25356125,7.81735839,6.3802,-21.42237641,6.78427332,147153000,5.30611877,17.79424209,-0.61812712,-3.36679826,49.88944015,751930000,1623731919.1094954,,-15.07433774,-5.07667843,13.59298519,3.48760599,6.15595242,0.62,3.34959383,6.75356544,4.83210005,0.93259578,Process Industries
FORA,Forian Inc.,32580700,0.47542423,65.9142764,28005857,0.60984842,79.24030762,18238999,65.12565925,15.91212672,28.28324783,-9801260,-73.23041391,77.66367137,2.96792724,-0.8108,77.69236118,2.18120489,-25971971,-92.73764056,-18.62025752,-0.51318117,-0.02155368,2.4517617,24009283,92203276.34339625,81.34365134,44.55656099,-36.5296445,12.3015873,9.13970989,14.38244206,-0.03,-22.71650128,-62.80517496,-27.49857433,6.0972836,Technology Services
AIMD,"Ainos, Inc.",20292600,-41.91888374,491.96872325,3519627,0.82512599,-110.22225786,-3408365,-96.83881275,16.0865777,-399.12024099,-9920330,-397.09355565,7.22222222,-99.4368932,-1.0271,6.77443736,-260.19313589,-14006690,-397.95949969,-9.09590994,-7.25134406,-10.65721384,-95.71703567,3184000,13109035.61652893,23.94689286,-162.23910688,-103.84651555,7.66666667,11.70738723,7.28371173,,-39.81487157,-81.44116077,-44.70135847,1.44731087,Health Technology
HNST,"The Honest Company, Inc.",94978000,0.83488383,-1.56540788,313651000,0.32929906,-15.51230788,90646000,28.90027451,-11.65286364,-15.29375765,-32917000,-12.89044192,29.61500494,-24.70091485,-0.5316,28.89171569,-406.13319566,-49019000,-15.62851705,-11.73820695,-9.80739408,-5.43015571,0.2051856,33769000,120622062.13445377,,-84.72142597,-22.59995983,12.06896552,5.55892342,7.65316747,-0.112144,-25.06707839,-39.43954116,-32.66828676,1.49139703,Retail Trade
TSDD,GraniteShares 1.5x Short TSLA Daily ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1969697,4.57616722,4.10796145,,,,,,Miscellaneous
JGGC,Jaguar Global Growth Corporation I,23000000,,,0,,,0,,51.43591627,-6056.34543179,-5327520,,,,0.2027,,,5615200,,55210.66882955,1.09173067,,-100,0,105736125.43828265,57.50882013,-13515.40145985,,26.19565217,24.2018726,15.31523995,,2.31309609,2.43947625,2.43947625,0.16118261,Finance
